,Total Cases
9287,638.0
9338,629.0
9389,666.0
9440,805.0
9491,549.0
9542,233.0
9593,747.0
9644,483.0
9695,409.0
9746,604.0
9797,459.0
9848,448.0
9899,253.0
9950,426.0
10001,594.0
10052,449.0
10103,457.0
10154,430.0
10205,335.0
10256,379.0
10307,401.0
10358,311.0
10409,466.0
10460,318.0
10511,301.0
10562,337.0
10613,192.0
10664,261.0
10715,275.0
10766,328.0
10817,357.0
10868,298.0
10919,259.0
10970,198.0
11021,438.0
11072,211.0
11123,352.0
11174,429.0
11225,270.0
11276,182.0
11327,199.0
11378,352.0
11429,242.0
11480,266.0
11531,370.0
11582,0.0
11633,332.0
11684,498.0
11735,189.0
11786,246.0
11837,266.0
11888,308.0
11939,413.0
11990,414.0
12041,381.0
12092,398.0
12143,588.0
12194,455.0
12245,604.0
12296,603.0
12347,500.0
12398,545.0
12449,658.0
12500,615.0
12551,546.0
12602,710.0
12653,581.0
12704,570.0
12755,412.0
12806,533.0
12857,514.0
12908,683.0
12959,677.0
13010,0.0
13061,1180.0
13112,464.0
13163,652.0
13214,727.0
13265,862.0
